Team,GP,W,L,WIN%,Min,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,BLKA,PF,PFD,+/-
Oklahoma City Thunder,4,4,0,1,48,122.8,43.5,89.3,48.7,14.3,39.3,36.3,21.5,24.8,86.9,13,31,44,25.8,10.8,9.5,5.8,2.8,21.3,23.3,17.3
San Antonio Spurs,5,4,1,0.8,48,112.4,40.6,83.8,48.4,12.8,30.6,41.8,18.4,24.2,76,10.6,33.8,44.4,24.6,15.2,8.4,7.2,4.8,22,22.4,12.4
Los Angeles Lakers,6,4,2,0.667,48.8,101.2,36,76,47.4,9.8,25.5,38.6,19.3,26.3,73.4,9.8,31.7,41.5,23.2,17.7,7.5,6.7,5.3,21.2,21.8,2.5
Minnesota Timberwolves,6,4,2,0.667,48,112,41.7,89,46.8,10.3,30.7,33.7,18.3,23.8,76.9,12,35.2,47.2,26,13.5,6.5,3.3,4.2,25.3,22.7,4.5
New York Knicks,6,4,2,0.667,48,117.8,42.2,84.5,49.9,11.8,31.2,38,21.7,28,77.4,10.5,35.3,45.8,24.2,13.2,8.8,4.8,4.8,21.7,22.2,17.5
Philadelphia 76ers,7,4,3,0.571,48,103.7,38,85.1,44.6,11.6,32.9,35.2,16.1,19.9,81.3,8.3,32.9,41.1,21.7,10.7,4.7,4.3,4.7,18.9,19.4,-2.9
Cleveland Cavaliers,6,3,3,0.5,48.8,111.5,39.8,84.3,47.2,13.7,39,35,18.2,25.2,72.2,11.7,30.5,42.2,21.2,17.3,8.3,4.7,6,21.2,22.2,0
Detroit Pistons,6,3,3,0.5,48,100.2,34.8,81.5,42.7,8.7,29.2,29.7,21.8,29.2,74.9,12.5,35.5,48,19.8,16.8,7.3,10,5.8,22.7,24.3,1.8
Orlando Magic,6,3,3,0.5,48,98.3,33.5,84.8,39.5,11.3,34.7,32.7,20,28.2,71,11.7,31.3,43,20.2,14,10.2,5.8,10,24.3,22.7,-1.8
Toronto Raptors,6,3,3,0.5,48.8,111.5,40.7,86.7,46.9,11,30,36.7,19.2,26.2,73.2,12.2,29.3,41.5,26.5,15.8,9,6,4.7,22.2,21.2,0
Boston Celtics,7,3,4,0.429,48,106.6,38.1,87.9,43.4,15.6,46.1,33.7,14.7,20,73.6,12.1,34.7,46.9,23.7,11.9,5.4,4.7,4.3,19.4,18.9,2.9
Atlanta Hawks,6,2,4,0.333,48,100.3,36.5,83.7,43.6,11.3,36.3,31.2,16,22.2,72.2,9.2,27.7,36.8,22.2,14.7,7.3,4.8,4.8,22.2,21.7,-17.5
Denver Nuggets,6,2,4,0.333,48,107.5,36.3,83.3,43.6,10,32.2,31.1,24.8,30.2,82.3,7,31.3,38.3,24.5,12,7.3,4.2,3.3,22.7,25.3,-4.5
Houston Rockets,6,2,4,0.333,48.8,98.7,35.2,86,40.9,10,33.2,30.2,18.3,24.5,74.8,13.5,28,41.5,20.8,13.8,11.5,5.3,6.7,21.8,21.2,-2.5
Portland Trail Blazers,5,1,4,0.2,48,100,35.8,88.8,40.3,11.6,38.4,30.2,16.8,22,76.4,12,28.6,40.6,21.4,12.8,7.6,4.8,7.2,22.4,22,-12.4
Phoenix Suns,4,0,4,0,48,105.5,38.5,86.3,44.6,12.8,37.5,34,15.8,19.8,79.7,12,28.3,40.3,22,16,5.5,2.8,5.8,23.3,21.3,-17.3
Oklahoma City Thunder,23,16,7,0.696,48.2,114.7,41,89.8,45.6,11.8,35,33.8,20.9,26,80.1,11.4,32.1,43.6,23,12.3,10.7,5.7,5.4,21.5,21.7,8.3
Indiana Pacers,23,15,8,0.652,48.4,114.1,40.8,84.3,48.4,13.2,33.7,39,19.3,24.7,78.5,8.1,32.5,40.6,26.4,14.3,8,5.7,4.7,23.3,21.6,2
Minnesota Timberwolves,15,9,6,0.6,48,109.1,39.5,85.5,46.2,13.3,37.1,35.8,16.9,21.9,77.1,11.7,30.5,42.2,24.2,15.7,7.3,4.7,4,20.8,21,2.7
Cleveland Cavaliers,9,5,4,0.556,48,119.4,40.9,87.8,46.6,14.9,41,36.3,22.8,27.9,81.7,12.3,32.3,44.7,22.9,12.1,8.9,3.6,5.3,18.6,22,11.7
New York Knicks,18,10,8,0.556,48.6,109.6,39.4,86.5,45.5,11.1,31.7,34.9,19.7,25.9,76,11.8,30.8,42.6,19.8,13.8,7.9,4.7,5.7,20.9,22.8,0
Boston Celtics,11,6,5,0.545,48.5,105.7,36.7,83,44.2,14.2,39.4,36,18.1,22.6,79.9,10.8,32.3,43.1,20,13.2,6.7,5.4,3.6,19.5,20.1,5.5
Denver Nuggets,14,7,7,0.5,48.7,107,38.6,86.5,44.6,11.9,34.2,34.7,18,23.6,76.4,12.3,34.1,46.4,22.6,15.8,7.6,4.2,6.4,19.9,21.1,-4.9
Houston Rockets,7,3,4,0.429,48,104,36.7,82.3,44.6,10.6,28.3,37.4,20,28.6,70,13.4,33.4,46.9,19.6,13.6,7.9,5.1,4.9,17.7,21.4,0
LA Clippers,7,3,4,0.429,48.7,108.3,41.1,84.6,48.6,12,33,36.4,14,19.6,71.5,10,29.4,39.4,26,12,8,7.1,3.9,19.3,18.3,0.6
Golden State Warriors,12,5,7,0.417,48,103.1,36.8,85.5,43.1,13.7,38.8,35.3,15.8,20.5,76.8,12.1,28.3,40.3,23.3,14.4,8.9,3.9,5.3,21.2,19.3,-3
Detroit Pistons,6,2,4,0.333,48,106.7,37.2,82.7,45,10.2,31.3,32.4,22.2,27.8,79.6,11,32.8,43.8,20,16.5,7.2,6.3,5.7,22.8,21.8,-1.3
Los Angeles Lakers,5,1,4,0.2,48,100.4,34.6,78.8,43.9,13.6,38.8,35.1,17.6,21.2,83,9.6,29.4,39,21.2,14.6,5,5,3.6,21,20.8,-7
Milwaukee Bucks,5,1,4,0.2,49,110.2,39.8,87.8,45.3,14.4,38,37.9,16.2,22.4,72.3,10.4,33.2,43.6,23.8,13,6,3.6,4.8,19.6,19.2,-7.6
Orlando Magic,5,1,4,0.2,48,93.6,35.6,84.4,42.2,8.2,31.2,26.3,14.2,20.6,68.9,11.4,28.4,39.8,18.6,11.6,6.4,3.8,4.8,21.4,17.4,-12.8
Memphis Grizzlies,4,0,4,0,48,100.5,36,86.8,41.5,10.5,34.5,30.4,18,20.5,87.8,10.3,34,44.3,20.5,19.3,5.8,6.5,6.8,20.8,18.8,-19.5
Miami Heat,4,0,4,0,48,95.5,36.3,81.5,44.5,13.8,39.8,34.6,9.3,13.3,69.8,10,27.3,37.3,21.3,16,4.5,3,3,17.3,13.3,-30.5
Boston Celtics,19,16,3,0.842,48.3,108.8,39.3,83.8,46.9,14.5,40.2,36,15.7,19.3,81.2,9.7,33.4,43.1,23.8,11.5,6.3,5.4,2.2,15.7,18,8.1
Oklahoma City Thunder,10,6,4,0.6,48,105.7,39.4,85.8,45.9,12.1,34,35.6,14.8,18.5,80,8.7,32.8,41.5,23.1,11.2,7.8,6.2,5.6,17.7,19.6,6.3
Dallas Mavericks,22,13,9,0.591,48,106,38.9,83,46.8,11.9,33.1,36,16.3,22.7,71.9,10.9,32.2,43.1,21.1,12.5,6.3,5.3,4.9,19,19.7,2.6
Denver Nuggets,12,7,5,0.583,48,102.2,38.9,85.2,45.7,10.5,31.6,33.2,13.8,16.7,83,9.9,32.6,42.5,24.9,12,6.4,4.3,5.1,18,18.3,-2.1
Minnesota Timberwolves,16,9,7,0.563,48,107.5,38.8,82.9,46.8,11.7,32.6,35.9,18.3,23.6,77.5,10.6,31.8,42.4,23.9,12.2,7.3,4.6,5.1,20.8,20,4.2
New York Knicks,13,7,6,0.538,48.4,109.9,39.8,87.8,45.3,11.9,31.8,37.5,18.5,24.4,75.7,13.5,29.4,42.8,22.5,11.2,5.7,5.4,6.3,17.8,21.2,-2.1
Indiana Pacers,17,8,9,0.471,48.6,113.9,44.8,88.4,50.7,12.2,32.9,37.2,12.1,16.2,74.6,10.3,31.1,41.4,29.9,12,5.5,4.8,4.2,20.5,17.4,1.1
Orlando Magic,7,3,4,0.429,48,100.3,35.3,84,42,10.3,33.3,30.9,19.4,25.1,77.3,12,33,45,19.3,14.4,8,5.1,6,21.6,21.7,4.4
Cleveland Cavaliers,12,5,7,0.417,48,98.1,37.4,83.4,44.9,10.3,32.8,31.5,12.9,17,76,7.7,31.1,38.8,21.3,12.2,6.7,4.6,5,19.8,18.3,-5.6
LA Clippers,6,2,4,0.333,48,100.3,35.7,82.2,43.4,11.8,31.7,37.4,17.2,21.7,79.2,11.2,30.8,42,20.2,13.5,6.2,3.2,6.3,22.8,20.2,-6.7
Milwaukee Bucks,6,2,4,0.333,48.8,110.2,40.8,86.3,47.3,11.2,31.5,35.4,17.3,21.2,81.9,9.5,33.2,42.7,22.2,10.7,5.3,3.2,4.5,18.7,19.3,-2.8
